Keyword,Competition,Global Monthly Searches,Local Monthly Searches,Results,R/S
cover letters,0.14,368000,246000,,
cover letter,0.07,3350000,1830000,,
cover letter help,0.15,2900,1900,,
resume cover letters,0.27,14800,12100,,
resume cover letter,0.18,135000,110000,,
sample of cover letters,0.23,880,590,,
cover letters for resumes,0.3,22200,18100,,
examples of a resume,0.22,2900,2400,,
sample cover letters,0.09,60500,49500,,
examples of resumes,0.32,40500,33100,,
samples of resumes,0.38,12100,9900,,
cover letter cover letter,0.02,480,390,,
effective cover letters,0.06,1300,880,,
sample of a resume,0.32,3600,2400,,
resume cover letter guide,0.25,260,260,,
resume cover letter help,0.58,170,110,,
job cover letter guide,0.4,590,480,,
example of a resume,0.27,18100,12100,,
cover letter guide,0.23,1900,1300,,
cover letter templates,0.26,27100,18100,,
free resume cover letters,0.54,390,320,,
free sample of cover letter,0.57,390,210,,
sample of cover letter,0.19,12100,4400,,
examples of cover letters,0.11,22200,18100,,
cover letters for resume,0.26,1900,1300,,
good cover letter,0.05,22200,9900,,
samples of cover letters,0.23,6600,4400,,
covers letters,0.39,390,210,,
resume letter examples,0.27,880,480,,
cover letters and resumes,0.33,880,590,,
how to make a resume,0.33,165000,135000,,
resume and cover letter,0.21,12100,8100,,
an example of a resume,0.4,880,720,,
it cover letters,0.05,720,480,,
examples of resume,0.23,9900,5400,,
good cover letter examples,0.04,2400,1300,,
job cover letters,0.17,2400,1600,,
resume and cover letter help,0.72,91,73,,
how to build a resume,0.47,8100,6600,,
free sample of cover letters,0.51,73,46,,
free cover letters for resumes,0.61,390,260,,
cover letter advice,0.04,720,480,,
free resume cover letter,0.48,1000,880,,
cover letters resume,0.17,590,390,,
cover letters advice,0.19,28,16,,
resume covering letters,0.43,140,22,,
cover letters for jobs,0.26,3600,1900,,
great cover letter,0.05,5400,4400,,
cover letters for employment,0.29,2400,1600,,
job cover letter,0.1,22200,12100,,
mba cover letters,0.1,110,91,,
employment cover letter,0.15,3600,2900,,
what is a cover letter,0.07,22200,18100,,
how to create a resume,0.41,12100,9900,,
cover letter resume,0.11,12100,6600,,
how to write cover letter,0.07,9900,3600,,
sample of resume,0.33,33100,8100,,
cover letter template,0.12,135000,90500,,
professional cover letter,0.11,9900,5400,,
cover letter and resume,0.11,5400,4400,,
creating cover letters,0.19,46,28,,
resume letters examples,0.34,46,28,,
examples of cover letter,0.13,2900,1300,,
a good cover letter,0.07,9900,5400,,
best cover letter,0.03,9900,5400,,
sample of resumes,0.34,880,590,,
example cover letters,0.08,9900,6600,,
examples of job resumes,0.37,590,590,,
covering letters sample,0.24,91,16,,
employment cover letters,0.3,720,590,,
how to create a cover letter,0.19,1900,1600,,
how to cover letter,0.04,1600,1000,,
cover letter for resumes,0.25,720,590,,
letter examples,0.06,550000,301000,,
templates for cover letters,0.39,480,320,,
what is a resume cover letter,0.09,720,590,,
template cover letter,0.12,2400,720,,
cover letters examples,0.14,9900,4400,,
cover letter for resume,0.17,74000,49500,,
cover letter skills,0.01,260,110,,
resume samples of,0.26,1300,390,,
great cover letters,0.06,4400,3600,,
cover letters online,0.19,210,140,,
good cover letters,0.05,3600,2400,,
what is a cover letter for a resume,0.1,4400,3600,,
create a cover letter,0.23,2900,2400,,
cover letters for a resume,0.3,320,320,,
cover letters for a job,0.22,480,260,,
how to make resume,0.3,12100,3600,,
it cover letter,0.05,5400,2900,,
creating cover letter,0.17,140,91,,
cover letters and resume,0.29,170,110,,
cover letter examples,0.06,450000,301000,,
free sample cover letters,0.41,2400,1900,,
resumes cover letter,0.13,320,260,,
online cover letters,0.16,320,210,,
letters for resumes,0.3,22200,18100,,
example of a job resume,0.33,390,320,,
jimmy sweeney cover letters,0.11,2400,1000,,
templates cover letters,0.25,110,73,,
